Famille;Référence;Désignation;Stock sur Saint-Denis;Stock sur Saint-Pierre;Stock Disponible;Prochain arrivage ;Prix
;51604A;CARTOUCHE NOIRE HP THINKJET QUIETJET;154,00;0,00;154,00;"";11,310 €
;51605R;CARTOUCHE Rouge HP THINKJET QUIETJET;2,00;0,00;2,00;"";12,150 €
;51626AE;HP026 CARTOUCHE D ENCRE NOIRE - 40 ML;2,00;0,00;2,00;"";36,120 €
;51645AE;HP045 Cartouche encre noire - 42 ml;47,00;0,00;47,00;"";34,720 €
;B3P19A;CRT 727 LV Cyan 130ml;8,00;0,00;8,00;"";66,640 €
;B3P20A;CRT 727 LV Magenta 130ml;8,00;0,00;8,00;"";66,640 €
;B3P21A;CRT 727 LV Jaune 130ml;8,00;0,00;8,00;"";66,640 €
;B3P22A;CRT 727 LV Noir mate 130ml;1,00;0,00;1,00;"";66,640 €
;B3P23A;CRT Photo LV 727 Noire 130-ml ;6,00;0,00;6,00;"";66,640 €
;B3P24A;CRT 727 LV  gris130-ml  ;7,00;0,00;7,00;"";66,640 €
;C1823D;CRTHV HP23 3coul DJ710/720/880/890/810/OJt45/65/1170/PSC500(MC24);3,00;0,00;3,00;"";39,480 €
;C2N92AE;N°920XL Noire/Cyan/Magenta/Jaune;43,00;0,00;43,00;"";53,620 €
;C2P04AE/UUS;CRT HP 62 Noire - 4 ml -  200 pages - (MC 60);50,00;0,00;50,00;"";12,320 €
;C2P05AE/UUS;CRT HP 62XL Noire  - 12 ml -  600 pages - (MC 60) ;55,00;0,00;55,00;"";25,760 €
;C2P06AE/UUS;CRT HP 62 - Tricolore - 4.5 ml - 165 pages - (MC 60);50,00;0,00;50,00;"";14,840 €
;C2P07AE/UUS;CRT HP 62XL Tricolore - 11.5 ml - 415 pages - (MC 60);55,00;0,00;55,00;"";28,280 €
;C2P23AE/BGX;CRT 934XL Noir - 1 000 pages ;7,00;0,00;7,00;"";23,100 €
;C2P24AE/BGX;CRT 935XL Cyan - 825 pages (MC60);9,00;0,00;9,00;"";14,560 €
